Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_Income,Loan_Amount_Term_Log
LP001002,0,0,0,1,0,1.0,0,1,4.986425672954842,8.674025985443025,5.886104031450156
LP001003,0,1,1,1,0,1.0,2,0,4.852030263919617,8.714567550836485,5.886104031450156
LP001005,0,1,0,1,1,1.0,0,1,4.189654742026425,8.006367567650246,5.886104031450156
LP001006,0,1,0,0,0,1.0,0,1,4.787491742782046,8.50532301884575,5.886104031450156
LP001008,0,0,0,1,0,1.0,0,1,4.948759890378168,8.699514748210191,5.886104031450156
LP001011,0,1,2,1,1,1.0,0,1,5.58724865840025,9.170871628065816,5.886104031450156
LP001013,0,1,0,0,0,1.0,0,1,4.553876891600541,8.255568653283746,5.886104031450156
LP001014,0,1,3,1,0,0.0,1,0,5.062595033026967,8.61974977974133,5.886104031450156
LP001018,0,1,2,1,0,1.0,0,1,5.123963979403259,8.61830469278465,5.886104031450156
LP001020,0,1,1,1,0,1.0,1,0,5.855071922202427,10.077818939438902,5.886104031450156
LP001024,0,1,2,1,0,1.0,0,1,4.248495242049359,8.268731832117737,5.886104031450156
LP001027,0,1,2,1,0,1.0,0,1,4.6913478822291435,8.375629627094451,5.886104031450156
LP001028,0,1,2,1,0,1.0,0,1,5.298317366548036,9.321792297270326,5.886104031450156
LP001029,0,0,0,1,0,1.0,2,0,4.736198448394496,8.453827315794417,5.886104031450156
LP001030,0,1,2,1,0,1.0,0,1,2.833213344056216,7.776954403322442,4.787491742782046
LP001032,0,0,0,1,0,1.0,0,1,4.8283137373023015,8.507142855562735,5.886104031450156
LP001034,0,0,1,0,0,0.0,0,1,4.605170185988092,8.18757739559151,5.480638923341991
LP001036,1,0,0,1,0,0.0,0,0,4.330733340286331,8.163371316459912,5.886104031450156
LP001038,0,1,0,0,0,1.0,2,0,4.890349128221754,8.494333897270154,5.886104031450156
LP001041,0,1,0,1,0,1.0,0,1,4.74493212836325,8.716044050161402,5.834810737062605
LP001043,0,1,0,0,0,0.0,0,0,4.6443908991413725,8.943767262734637,5.886104031450156
LP001046,0,1,1,1,0,1.0,0,1,5.752572638825633,9.357034751126987,5.886104031450156
LP001047,0,1,0,0,0,0.0,1,0,4.7535901911063645,8.414274137408396,5.886104031450156
LP001052,0,1,1,1,0,0.0,1,0,5.017279836814924,8.801168401936692,5.886104031450156
LP001066,0,1,0,1,1,1.0,1,1,5.25227342804663,9.165343006045447,5.886104031450156
