Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,0,0,0,1,0,5849.0,0.0,146.41216216216216,360.0,1.0,0,1
LP001003,0,1,1,1,0,4583.0,1508.0,128.0,360.0,1.0,2,0
LP001005,0,1,0,1,1,3000.0,0.0,66.0,360.0,1.0,0,1
LP001006,0,1,0,0,0,2583.0,2358.0,120.0,360.0,1.0,0,1
LP001008,0,0,0,1,0,6000.0,0.0,141.0,360.0,1.0,0,1
LP001011,0,1,2,1,1,5417.0,4196.0,267.0,360.0,1.0,0,1
LP001013,0,1,0,0,0,2333.0,1516.0,95.0,360.0,1.0,0,1
LP001014,0,1,3,1,0,3036.0,2504.0,158.0,360.0,0.0,1,0
LP001018,0,1,2,1,0,4006.0,1526.0,168.0,360.0,1.0,0,1
LP001020,0,1,1,1,0,12841.0,10968.0,349.0,360.0,1.0,1,0
LP001024,0,1,2,1,0,3200.0,700.0,70.0,360.0,1.0,0,1
LP001027,0,1,2,1,0,2500.0,1840.0,109.0,360.0,1.0,0,1
LP001028,0,1,2,1,0,3073.0,8106.0,200.0,360.0,1.0,0,1
LP001029,0,0,0,1,0,1853.0,2840.0,114.0,360.0,1.0,2,0
LP001030,0,1,2,1,0,1299.0,1086.0,17.0,120.0,1.0,0,1
LP001032,0,0,0,1,0,4950.0,0.0,125.0,360.0,1.0,0,1
LP001034,0,0,1,0,0,3596.0,0.0,100.0,240.0,0.0,0,1
LP001036,1,0,0,1,0,3510.0,0.0,76.0,360.0,0.0,0,0
LP001038,0,1,0,0,0,4887.0,0.0,133.0,360.0,1.0,2,0
LP001041,0,1,0,1,0,2600.0,3500.0,115.0,342.0,1.0,0,1
LP001043,0,1,0,0,0,7660.0,0.0,104.0,360.0,0.0,0,0
LP001046,0,1,1,1,0,5955.0,5625.0,315.0,360.0,1.0,0,1
LP001047,0,1,0,0,0,2600.0,1911.0,116.0,360.0,0.0,1,0
LP001052,0,1,1,1,0,3717.0,2925.0,151.0,360.0,0.0,1,0
LP001066,0,1,0,1,1,9560.0,0.0,191.0,360.0,1.0,1,1
LP001068,0,1,0,1,0,2799.0,2253.0,122.0,360.0,1.0,1,1
LP001073,0,1,2,0,0,4226.0,1040.0,110.0,360.0,1.0,0,1
LP001086,0,0,0,0,0,1442.0,0.0,35.0,360.0,1.0,0,0
LP001087,1,0,2,1,0,3750.0,2083.0,120.0,360.0,1.0,1,1
LP001091,0,1,1,1,0,4166.0,3369.0,201.0,360.0,0.0,0,0
LP001095,0,0,0,1,0,3167.0,0.0,74.0,360.0,1.0,0,0
LP001097,0,0,1,1,1,4692.0,0.0,106.0,360.0,1.0,2,0
LP001098,0,1,0,1,0,3500.0,1667.0,114.0,360.0,1.0,1,1
LP001100,0,0,3,1,0,12500.0,3000.0,320.0,360.0,1.0,2,0
LP001106,0,1,0,1,0,2275.0,2067.0,146.41216216216216,360.0,1.0,0,1
LP001109,0,1,0,1,0,1828.0,1330.0,100.0,342.0,0.0,0,0
LP001112,1,1,0,1,0,3667.0,1459.0,144.0,360.0,1.0,1,1
LP001114,0,0,0,1,0,4166.0,7210.0,184.0,360.0,1.0,0,1
LP001116,0,0,0,0,0,3748.0,1668.0,110.0,360.0,1.0,1,1
LP001119,0,0,0,1,0,3600.0,0.0,80.0,360.0,1.0,0,0
LP001120,0,0,0,1,0,1800.0,1213.0,47.0,360.0,1.0,0,1
LP001123,0,1,0,1,0,2400.0,0.0,75.0,360.0,0.0,0,1
LP001131,0,1,0,1,0,3941.0,2336.0,134.0,360.0,1.0,1,1
LP001136,0,1,0,0,1,4695.0,0.0,96.0,342.0,1.0,0,1
LP001137,1,0,0,1,0,3410.0,0.0,88.0,342.0,1.0,0,1
LP001138,0,1,1,1,0,5649.0,0.0,44.0,360.0,1.0,0,1
LP001144,0,1,0,1,0,5821.0,0.0,144.0,360.0,1.0,0,1
LP001146,1,1,0,1,0,2645.0,3440.0,120.0,360.0,0.0,0,0
LP001151,1,0,0,1,0,4000.0,2275.0,144.0,360.0,1.0,1,1
